CYP4A11	Q02928
CYP4A22-AS1	anon
CYP4A22	Q5TCH4
TAL1	P17542
STIL	Q15468
CMPK1	P30085
FOXE3	Q13461
AGBL4	Q5VU57
CPT2	P23786
LRP8	Q14114
DIO1	P49895
MRPL37	Q9BZE1
PARS2	Q7L3T8
DHCR24	Q15392
PCSK9	Q8NBP7
USP24	Q9UPU5
C8A	P07357
C8B	P07358
TACSTD2	P09758
HOOK1	Q9UJC3
NFIA	Q12857
ALG6	Q9Y672
PGM1	P36871
DNAJC6	O75061
LEPR	P48357
PDE4B	Q07343
SLC35D1	Q9NTN3
C1orf141	Q5JVX7
IL23R	Q5VWK5
IL12RB2	Q99665
CTH	P32929
NEGR1	Q7Z3B1
FPGT-TNNI3K	anon
TNNI3K	Q59H18
LHX8	Q68G74
ACADM	P11310
MSH4	O15457
FUBP1	Q96AE4
IFI44L	Q53G44
BCL10	O95999
ZNHIT6	Q9NWK9
CLCA2	Q9UQC9
CLCA1	A8K7I4
SELENOF	O60613
ZNF644	Q9H582
TGFBR3	Q03167
GLMN	Q92990
GFI1	Q99684
EVI5	O60447
ABCA4	P78363
ABCD3	P28288
F3	P13726
DPYD	Q12882
AGL	P35573
DBT	P11182
VCAM1	P19320
COL11A1	P12107
NTNG1	Q9Y2I2
AKNAD1	Q5T1N1
GPSM2	P81274
SARS	P49591
SORT1	Q99523
GNAI3	P08754
GNAT2	P19087
GSTM4	Q03013
GSTM2	P28161
GSTM1	P09488
GSTM5	P46439
GSTM3	P21266
CSF1	P09603
SLC6A17	Q9H1V8
RBM15	Q96T37
PROK1	P58294
CHI3L2	Q15782
CHIA	Q9BZP6
OVGP1	Q12889
TMIGD3	P0DMS9
ADORA3	P0DMS8
RAP1A	P62834
DDX20	Q9UHI6
SLC16A1	P53985
PTPN22	Q9Y2R2
AP4B1-AS1	anon
AP4B1	Q9Y6B7
TRIM33	Q9UPN9
AMPD1	P23109
TSHB	P01222
NGF	P01138
CASQ2	O14958
SLC22A15	Q8IZD6
TTF2	Q9UNY4
SPAG17	Q6Q759
PHGDH	O43175
HMGCS2	P54868
NOTCH2	Q04721
FMO5	P49326
CHD1L	Q86WJ1
LINC00624	anon
BCL9	O00512
PRPF3	O43395
ECM1	Q16610
ADAMTSL4	Q6UY14
MCL1	Q07820
CTSK	P43235
ARNT	P27540
SETDB1	Q15047
PSMB4	P28070
POGZ	Q7Z3K3
MRPL9	Q9BYD2
OAZ3	Q9UMX2
LCE5A	Q5TCM9
SPRR3	Q9UBC9
TPM3	P06753
IL6R	P08887
ADAR	P55265
KCNN3	Q9UGI6
PKLR	P30613
ASH1L	Q9NR48
GON4L	Q3T8J9
SYT11	Q9BT88
RIT1	Q92963
SEMA4A	Q9H3S1
MEF2D	Q14814
IQGAP3	Q86VI3
MRPL24	Q96A35
PRCC	Q92733
SH2D2A	Q9NP31
NTRK1	P04629
PEAR1	Q5VY43
ARHGEF11	O15085
FCRL3	Q96P31
CD1E	P15812
SPTA1	P02549
CADM3-AS1	anon
ACKR1	Q16570
KCNJ10	P78508
PIGM	Q9H3S5
ATP1A2	P50993
PEX19	P40855
NCSTN	Q92542
VANGL2	Q9ULK5
USF1	P22415
NECTIN4	Q96NY8
NDUFS2	O75306
FCGR3B	O75015
ATF6	P18850
NOS1AP	O75052
DDR2	Q16832
RXRG	P48443
MGST3	O14880
ALDH9A1	P49189
TMCO1	Q9UM00
ADCY10	Q96PN6
TBX19	O60806
ATP1B1	P05026
F5	P12259
SELP	P16109
C1orf112	Q9NSG2
SELL	P14151
SELE	P16581
KIFAP3	Q92845
GORAB	Q5T7V8
FMO3	P31513
FMO2	Q99518
MYOCOS	A0A1B0GUC4
MYOC	Q99972
TNR	Q92752
COP1	Q8NHY2
SEC16B	Q96JE7
CRYZL2P-SEC16B	anon
AXDND1	Q5T1B0
NPHS2	Q9NP85
LHX4	Q969G2
ACBD6	Q9BR61
CACNA1E	Q15878
RNASEL	Q05823
NPL	Q9BXD5
DHX9	Q08211
LAMC1	P11047
LAMC2	Q13753
HMCN1	Q96RW7
PRG4	Q92954
PTGS2	P35354
PLA2G4A	P47712
RGS2	P41220
TROVE2	P10155
CFH	P08603
CFHR2	P36980
CFHR5	Q9BXR6
F13B	P05160
ASPM	Q8IZT6
CRB1	P82279
DDX59	Q5T1V6
CACNA1S	Q13698
TMEM9	Q9P0T7
PKP1	Q13835
TNNT2	P45379
LAD1	O00515
SYT2	Q8N9I0
ADORA1	P30542
CHI3L1	P36222
CHIT1	Q13231
ATP2B4	P23634
MDM4	O15151
DSTYK	Q6XUX3
CDK18	Q07002
RAB29	O14966
SLC41A1	Q8IVJ1
SLC26A9	Q7LBE3
AVPR1B	P47901
SRGAP2	O75044
IL10	P22301
IL19	Q9UHD0
PIGR	P01833
C4BPA	P04003
CD55	P08174
CR2	P20023
CR1	P17927
CD46	P15529
LAMB3	Q13751
SYT14	Q8NB59
HHAT	Q5VTY9
ATF3	P18847
FLVCR1	Q9Y5Y0
PTPN14	Q15678
USH2A	O75445
ESRRG	P62508
IARS2	Q9NSE4
RAB3GAP2	Q9H2M9
MIA3	Q5JRA6
DISP1	Q96F81
TLR5	O60602
LBR	Q14739
PARP1	P09874
PSEN2	P49810
COQ8A	Q8NI60
OBSCN	Q5VST9
TRIM17	Q9Y577
HIST3H3	Q16695
GALNT2	Q10471
AGT	P01019
GNPAT	O15228
EGLN1	Q9GZT9
TSNAX-DISC1	anon
DISC1	Q9NRI5
LYST	Q99698
NID1	P14543
EDARADD	Q8WWZ3
ACTN2	P35609
MTR	Q99707
RYR2	Q92736
FMN2	Q9NZ56
RGS7	P49802
EXO1	Q9UQ84
SDCCAG8	Q86SQ7
SMYD3	Q9H7B4
NLRP3	Q96P20
OR13G1	Q8NGZ3
FAM213B	Q8TBF2
SLC25A33	Q9BSK2
KIF1B	O60333
PGD	P52209
TNFRSF1B	P20333
HSPB7	Q9UBY9
EPHA2	P29317
PLA2G5	P39877
GALE	Q14376
CNR2	P34972
LDLRAP1	Q5SW96
PIGV	Q9NUD9
SNIP1	Q8TAD8
EXO5	Q9H790
IPP	Q9Y573
UQCRH	P07919
CYP4B1	P13584
SCP2	P22307
BSND	Q8WZ55
PRKAA2	P54646
RPE65	Q16518
DDAH1	O94760
GCLM	P48507
MAN1A2	O60476
TBX15	Q96SF7
HAX1	O00165
CRP	P02741
FCGR2A	P12318
TNFSF4	P23510
DARS2	Q6PI48
SERPINC1	P01008
MR1	Q95460
CFHR1	Q03591
ZBTB41	Q5SVQ8
SNRPE	P62304
REN	P00797
KISS1	Q15726
HLX	Q14774
EPHX1	P07099
OBSCN-AS1	Q96MR7
ACTA1	P68133
SNTG2	Q9NY99
TPO	P07202
PXDN	Q92626
MYT1L	Q9UL68
COLEC11	Q9BWP8
ALLC	Q8N6M5
IAH1	Q2TAA2
ADAM17	P78536
KLF11	O14901
ROCK2	O75116
LPIN1	Q14693
NBAS	A2RRP1
SMC6	Q96SB8
GEN1	Q17RS7
KCNS3	Q9BQ31
OSR1	Q8TAX0
WDR35	Q9P2L0
RHOB	P62745
HS1BP3	Q53T59
APOB	P04114
ITSN2	Q9NZM3
NCOA1	Q15788
ADCY3	O60266
DNMT3A	Q9Y6K1
HADHA	P40939
DRC1	Q96MC2
OTOF	Q9HC10
KCNK3	O14649
KHK	P50053
KRTCAP3	Q53RY4
IFT172	Q9UG01
GCKR	Q14397
C2orf71	A6NGG8
ALK	Q9UM73
CAPN13	Q6MZZ7
XDH	P47989
SRD5A2	P31213
LTBP1	Q14766
CRIM1	Q9NZV1
FEZ2	Q9UHY8
CYP1B1	Q16678
SOS1	Q07889
SLC8A1-AS1	anon
SLC8A1	P32418
THADA	Q6YHU6
ABCG8	Q9H221
LRPPRC	P42704
SLC3A1	Q07837
PREPL	Q4J6C6
SIX3	O95343
TTC7A	Q9ULT0
STPG4	Q8N801
EPCAM	P16422
MSH6	P52701
FBXO11	Q86XK2
FOXN2	P32314
STON1-GTF2A1L	anon
GTF2A1L	Q9UNN4
LHCGR	P22888
FSHR	P23945
NRXN1	P58400
PNPT1	Q8TCS8
FANCL	Q9NW38
BCL11A	Q9H165
FAM161A	Q3B820
COMMD1	Q8N668
WDPCP	O95876
MDH1	P40925
BMP10	O95393
ANTXR1	Q9H6X2
RNA5SP96	anon
GFPT1	Q06210
ASPRV1	Q53RT3
FIGLA	Q6QHK4
CD207	Q9UJ71
VAX2	Q9UIW0
ATP6V1B1	P15313
DYSF	O75923
RAB11FIP5	Q9BXF6
ALMS1	Q8TCU4
DGUOK	Q16854
DGUOK-AS1	anon
BOLA3	Q53S33
HK2	P52789
REG1A	P05451
SUCLG1	P53597
GGCX	P38435
SFTPB	P07988
IMMT	Q16891
REEP1	Q9H902
CD8A	P01732
EIF2AK3	Q9NZJ5
RPIA	P49247
MRPS5	P82675
ADRA2B	P18089
SNRNP200	O75643
CNGA3	Q16281
INPP4A	Q96PE3
LIPT1	Q9Y234
MITD1	Q8WV92
AFF3	P51826
CHST10	O43529
NPAS2	Q99743
RFX8	Q6ZV50
IL1R1	P14778
IL1RL1	Q01638
IL18R1	Q13478
IL18RAP	O95256
MRPS9	P82933
TGFBRAP1	Q8WUH2
SULT1C2	O00338
SULT1C4	O75897
RANBP2	P49792
EDAR	Q9UNE0
MIR4435-2HG	anon
BCL2L11	O43521
MERTK	Q12866
IL1A	P01583
IL36RN	Q9UBH0
IL1RN	P18510
PAX8	Q06710
DPP10	Q8N608
STEAP3	Q658P3
DBI	P07108
GLI2	P10070
CNTNAP5	Q8WYK1
GYPC	P04921
ERCC3	P19447
PROC	P04070
MYO7B	Q6PIF6
PTPN18	Q99952
LCT	P09848
MCM6	Q14566
KYNU	Q16719
ORC4	O43929
MBD5	Q9P267
MMADHC	Q9H3L0
RIF1	Q5UIP0
NEB	P20929
KCNJ3	P48549
NR4A2	P43354
GPD2	P43304
ACVR1	Q04771
IFIH1	Q9BYX4
GRB14	Q14449
SCN3A	Q9NY46
SCN2A	Q99250
GALNT3	Q14435
TTC21B	Q7Z4L5
SCN1A	P35498
SCN9A	Q15858
STK39	Q9UEW8
SPC25	Q9HBM1
G6PC2	Q9NQR9
ABCB11	O95342
LRP2	P98164
PPIG	Q13427
UBR3	Q6ZT12
GAD1	Q99259
TLK1	Q9UKI8
DCAF17	Q5H9S7
CYBRD1	Q53TN4
SLC25A12	O75746
WIPF1	O43516
CHRNA1	P02708
ATP5MC3	P48201
HOXD3	P31249
HOXD4	P09016
AGPS	O00116
PDE11A	Q9HCR9
PJVK	Q0ZLH3
TTN-AS1	anon
TTN	Q8WZ42
ZNF385B	Q569K4
ITGA4	P13612
CERKL	Q49MI3
NEUROD1	Q13562
NCKAP1	Q9Y2A7
ZNF804A	Q7Z570
TFPI	P10646
COL3A1	P02461
COL5A2	P05997
SLC40A1	Q9NP59
HIBCH	Q6NVY1
SF3B1	O75533
SATB2	Q9UPW6
AOX1	Q06278
CFLAR	O15519
CASP10	Q92851
CASP8	Q14790
TRAK2	O60296
STRADB	Q9C0K7
TMEM237	Q96Q45
MPP4	Q96JB8
ALS2	Q96Q42
CTLA4	P16410
ICOS	Q9Y6W8
PARD3B	Q8TEW8
NRP2	O60462
NDUFS1	P28331
EEF1B2	P24534
GPR1	P46091
CPO	Q8IVL8
KLF7	O75840
MYOSLID	anon
CRYGD	P07320
CRYGB	P07316
IDH1	O75874
PIKFYVE	Q9Y2I7
MAP2	P11137
UNC80	Q8N2C7
ACADL	P28330
CPS1	P31327
ERBB4	Q15303
SPAG16	Q8N0X2
BARD1	Q99728
ABCA12	Q86UK0
ATIC	P31939
FN1	P02751
PECR	Q9BY49
XRCC5	P13010
SMARCAL1	Q9NZC9
IGFBP5	P24593
SLC11A1	P49279
BCS1L	Q9Y276
PRKAG3	Q9UGI9
IHH	Q14623
NHEJ1	Q9H9Q4
DES	P17661
OBSL1	O75147
INHA	P05111
SLC4A3	P48751
PAX3	P23760
KCNE4	Q8WWG9
MRPL44	Q9H9J2
CUL3	Q13618
COL4A4	P53420
COL4A3	Q01955
MFF	Q9GZY8
SLC19A3	Q9BZV2
TRIP12	Q14669
SP110	Q9HB58
SP140	Q13342
SP100	P23497
GPR55	Q9Y2T6
ECEL1	O95672
PRSS56	P0CW18
CHRND	Q07001
GIGYF2	Q6Y7W6
NEU2	Q9Y3R4
SAG	P10523
UGT1A8	Q9HAW9
UGT1A10	Q9HAW8
UGT1A9	O60656
UGT1A7	Q9HAW7
UGT1A6	P19224
UGT1A5	P35504
UGT1A4	P22310
UGT1A3	P35503
UGT1A1	P22309
COL6A3	P12111
PER2	O15055
TRAF3IP1	Q8TDR0
HDAC4	P56524
NDUFA10	O95299
CAPN10	Q9HC96
AGXT	P21549
PASK	Q96RG2
HDLBP	Q00341
D2HGDH	Q8N465
NT5C1B-RDH14	anon
NT5C1B	Q96P26
MATN3	O15232
PRKD3	O94806
ABCG5	Q9H222
EFEMP1	Q12805
CEP68	Q76N32
RAB1A	P62820
MCEE	Q96PE7
CYP26B1	Q9NR63
STAMBP	O95630
TMEM127	O75204
COA5	Q86WW8
FHL2	Q14192
IL1B	P01584
PAX8-AS1	anon
CCNT2	O60583
CACNB4	O00305
ACVR1C	Q8NER5
TTC21B-AS1	anon
BBS5	Q8N3I7
KLHL41	O60662
ITGA6	P23229
STAT1	P42224
HSPD1	P10809
FASTKD2	Q9NYY8
CRYGEP	anon
ANO7	Q6IWH7
CHL1	O00533
CNTN6	Q9UQ52
CNTN4	Q8IWV2
CNTN4-AS1	anon
TRNT1	Q96Q11
CRBN	Q96SW2
SUMF1	Q8NBK3
ITPR1	Q14643
GRM7	Q14831
SSUH2	Q9Y2M2
CAV3	P56539
OXTR	P30559
SRGAP3	O43295
SETD5	Q9C0A6
CRELD1	Q96HD1
FANCD2	Q9BXW9
FANCD2OS	Q96PS1
ATP2B2	Q01814
ATG7	O95352
FANCD2P2	anon
TSEN2	Q8NCE0
MKRN2OS	H3BPM6
RAF1	P04049
XPC	Q01831
SLC6A6	P31641
COLQ	Q9Y215
DAZL	Q92904
RARB	P10826
SLC4A7	Q9Y6M7
TGFBR2	P37173
GLB1	P16278
TMPPE	Q6ZT21
CRTAP	O75718
PDCD6IP	Q8WUM4
MLH1	P40692
ITGA9	Q13797
ITGA9-AS1	anon
DLEC1	Q9Y238
SLC22A14	Q9Y267
ACVR2B	Q13705
SCN5A	Q14524
SCN10A	Q9Y5Y9
SCN11A	Q9UI33
CX3CR1	P49238
SLC25A38	Q96DW6
RPSA	P08865
CTNNB1	P35222
ACKR2	O00590
KRBOX1	C9JBD0
CYP8B1	Q9UNU6
SNRK	Q9NRH2
ANO10	Q9NW15
LARS2	Q15031
LARS2-AS1	anon
SLC6A20	Q9NP91
FYCO1	Q9BQS8
CCR2	P41597
CCRL2	O00421
LTF	P02788
LRRC2	Q9BYS8
TDGF1	P13385
ALS2CL	Q60I27
MYL3	P08590
PTH1R	Q03431
NBEAL2	Q6ZNJ1
SCAP	Q12770
COL7A1	Q02388
UQCRC1	P31930
LAMB2	P55268
AMT	P48728
DAG1	Q14118
GMPPB	Q9Y5P6
MST1R	Q04912
CISH	Q9NSE2
DOCK3	Q8IZD9
TLR9	Q9NR96
WDR82	Q6UXN9
GLYCTK	Q8IVS8
GLYCTK-AS1	anon
NEK4	P51957
ITIH1	P19827
ITIH3	Q06033
ITIH4	Q14624
RFT1	Q96AA3
PRKCD	Q05655
TKT	P29401
CACNA1D	Q01668
CHDH	Q8NE62
IL17RB	Q9NRM6
CACNA2D3	Q8IZS8
CACNA2D3-AS1	anon
IL17RD	Q8NFM7
ARF4	P18085
FLNB	O75369
DNASE1L3	Q13609
PDHB	P11177
ATXN7	O15265
PRICKLE2	Q7Z3G6
SLC25A26	Q70HW3
SUCLG2	Q96I99
UBA3	Q8TBC4
ARL6IP5	O75915
FOXP1	Q9H334
ROBO2	Q9HCK4
ROBO1	Q9Y6N7
GBE1	Q04446
POU1F1	P28069
EPHA3	P29320
CPOX	P36551
TBC1D23	Q9NUY8
ABI3BP	Q7Z7G0
IMPG2	Q9BZV3
ALCAM	Q13740
CBLB	Q13191
MYH15	Q9Y2K3
CD96	P40200
BTLA	Q7Z6A9
DRD3	P35462
ARHGAP31	Q2M1Z3
TMEM39A	Q9NV64
NR1I2	O75469
HGD	Q93099
POLQ	O75417
HCLS1	P14317
IQCB1	Q15051
SLC15A2	Q16348
ILDR1	Q86SU0
CD86	P42081
CASR	P41180
CSTA	P01040
KPNA1	P52294
ADCY5	O95622
MYLK	Q15746
CCDC14	Q49A88
KALRN	O60229
UMPS	P11172
MUC13	Q9H3R2
UROC1	Q96N76
ACAD9	Q9H845
CNBP	P62633
MBD4	O95243
PLXND1	Q9Y4D7
TRH	P20396
COL6A4P2	anon
COL6A5	A8TX70
PIK3R4	Q99570
ATP2C1	P98194
NPHP3-ACAD11	anon
NPHP3	Q7Z494
BFSP2	Q13515
BFSP2-AS1	anon
TOPBP1	Q92547
TFP1	anon
TF	P02787
SLCO2A1	Q92959
RYK	P34925
CEP63	Q96MT8
STAG1	Q8WVM7
SLC35G2	Q8TBE7
NCK1-DT	anon
IL20RB	Q6UXL0
IL20RB-AS1	anon
A4GNT	Q9UNA3
PIK3CB	P42338
CLSTN2	Q9H4D0
ATR	Q13535
SLC9A9	Q8IVB4
PLOD2	O00469
ZIC4	Q8N9L1
ZIC1	Q15915
CLRN1-AS1	anon
CLRN1	P58418
MED12L	Q86YW9
P2RY12	Q9H244
AADACL2-AS1	anon
AADAC	P22760
DHX36	Q9H2U1
MME	P08473
GMPS	P49915
MLF1	P58340
GFM1	Q96RP9
LXN	Q9BS40
IFT80	Q9P2H3
B3GALNT1	O75752
SI	P14410
SLC2A2	P11168
GHSR	Q92847
TNFSF10	P50591
TBL1XR1	Q9BZK7
TBL1XR1-AS1	anon
MRPL47	Q9HD33
DNAJC19	Q96DA6
MCCC1	Q96RQ3
MCCC1-AS1	anon
MCF2L2	Q86YR7
KLHL6	Q8WZ60
PARL	Q9H300
ABCC5	O15440
HTR3C	Q8WXA8
HTR3E-AS1	anon
HTR3E	A5X5Y0
EIF4G1	Q04637
CLCN2	P51788
AHSG	P02765
HRG	P04196
KNG1	P01042
MASP1	P48740
BCL6	P41182
LPP	Q93052
TP63	Q9H3D4
P3H2	Q8IVL5
CLDN1	O95832
CLDN16	Q9Y5I7
CCDC50	Q8IVM0
ATP13A4	Q4VNC1
OPA1	O60313
OPA1-AS1	anon
MUC4	Q99102
TFRC	P02786
TM4SF19-TCTEX1D2	anon
TM4SF19-AS1	anon
TM4SF19	Q96DZ7
RNF168	Q8IYW5
MELTF	P08582
DLG1	Q12959
MTMR14	Q8NCE2
PPARG	P37231
HACL1	Q9UJ83
BTD	P43251
KLHL40	Q2TBA0
POMGNT2	Q8NAT1
SETD2	Q9BYW2
POC1A	Q8NBT0
TFG	Q92734
ZNF80	P51504
GTF2E1	P29083
DIRC2	Q96SL1
MGLL	Q99685
IFT122	Q9HBG6
RHO	P08100
PCCB	P05166
AGTR1	P30556
MME-AS1	anon
SERPINI1	Q99574
NLGN1	Q8N2Q7
PIK3CA	P42336
GNB4	Q9HAV0
CCDC39	Q9UFE4
ALG3	Q92685
LIPH	Q8WWY8
UTS2B	Q765I0
RUBCN	Q92622
GAK	O14976
RNF212	Q495C1
SLBP	Q14493
FGFR3	P22607
SH3BP2	P78314
ADD1	P35611
GRK4	P32298
HTT	P42858
DOK7	Q18PE1
LRPAP1	P30533
MSX1	P28360
EVC2	Q86UK5
EVC	P57679
CRMP1	Q14194
WFS1	O76024
PPP2R2C	Q9Y2T4
GPR78	Q96P69
CPZ	Q66K79
SLC2A9	Q9NRM0
WDR1	O75083
CLNK	Q7Z7G1
CC2D2A	Q9P2K1
BST1	Q10588
CD38	P28907
FGFBP1	Q14512
PROM1	O43490
QDPR	P09417
PACRGL	Q8N7B6
KCNIP4	Q6PIL6
GBA3	Q9H227
PPARGC1A	Q9UBK2
SOD3	P08294
SEPSECS	Q9HD40
SLC34A2	O95436
RBPJ	Q06330
STIM2	Q9P246
DTHD1	Q6ZMT9
TBC1D1	Q86TI0
TLR10	Q9BXR5
TLR1	Q15399
TLR6	Q9Y2C9
WDR19	Q8NEZ3
KLB	Q86Z14
LIAS	O43766
N4BP2	Q86UW6
CHRNA9	Q9UGM1
NSUN7	Q8NE18
PHOX2B	Q99453
GRXCR1	A8MXD5
GABRG1	Q8N1C3
GABRA2	P47869
GABRA4	P48169
GABRB1	P18505
ATP10D	Q9P241
CORIN	Q9Y5Q5
NIPAL1	Q6NVV3
CNGA1	P29973
SGCB	Q16585
USP46	P62068
FIP1L1	Q6UN15
PDGFRA	P16234
KDR	P35968
NMU	P48645
CEP135	Q66GS9
PPAT	Q06203
SRP72	O76094
IGFBP7	Q16270
IGFBP7-AS1	anon
EPHA5	P54756
UBA6-AS1	anon
TMPRSS11A	Q6ZMR5
UGT2B17	O75795
UGT2B15	P54855
UGT2B4	P06133
UGT2A1	Q9Y4X1
SULT1B1	O43704
HTN3	P15516
DCK	P27707
SLC4A4	Q9Y6R1
GC	P02774
NPFFR2	Q9Y5X5
ALB	P02768
AFP	P02771
CXCL5	P42830
BTC	P35070
ART3	Q13508
CXCL10	P02778
SHROOM3	Q8TF72
MRPL1	Q9BYD6
FRAS1	Q86XX4
ANTXR2	P58335
HNRNPDL	O14979
COQ2	Q96H96
HELQ	Q8TDG4
MRPS18C	Q9Y3D5
ABRAXAS1	Q6UWZ7
ARHGAP24	Q8N264
MAPK10	P53779
PTPN13	Q12923
AFF1	P51825
HSD17B11	Q8NBQ5
DSPP	Q9NZW4
DMP1	Q13316
IBSP	P21815
SPP1	P10451
PKD2	Q13563
ABCG2	Q9UNQ0
PDLIM5	Q96HC4
UNC5C	O95185
EIF4E	P06730
ADH5	P11766
ADH4	P08319
ADH6	P28332
ADH1A	P07327
ADH1B	P00325
ADH1C	P00326
ADH7	P40394
BANK1	Q8NDB2
NFKB1	P19838
MANBA	O00462
TET2	Q6N021
AIMP1	Q12904
CYP2U1	Q7Z449
HADH	Q16836
LEF1	Q9UJU2
COL25A1	Q9BXS0
CFI	P05156
GAR1	Q9NY12
RRH	O14718
LRIT3	Q3SXY7
EGF	P01133
ANK2	Q01484
UGT8	Q16880
PRSS12	P56730
MYOZ2	Q9NPC6
FABP2	P12104
MAD2L1	Q13257
PRDM5	Q9NQX1
ANXA5	P08758
CCNA2	P20248
BBS7	Q8IWZ6
TRPC3	Q13507
IL21	Q9HBE4
BBS12	Q6ZW61
NUDT6	P53370
FAT4	Q6V0I7
SLC25A31	Q9H0C2
NDUFC1	O43677
FREM3	P0C091
GYPA	P02724
EDNRA	P25101
TMEM184C	Q9NVA4
PRMT9	Q6P2P2
NR3C2	P08235
LRBA	P50851
TLR2	O60603
DCHS2	Q6V1P9
FGA	P02671
NPY2R	P49146
TDO2	P48775
GLRB	P48167
ETFDH	Q16134
CPE	P16870
TLL1	O43897
PALLD	Q8WX93
CBR4	Q8N4T8
NEK1	Q96PY6
HPGD	P15428
AGA	P20933
TENM3	Q9P273
TRAPPC11	Q7Z392
IRF2	P14316
CASP3	P42574
PDLIM3	Q53GG5
TLR3	O15455
CYP4V2	Q6ZWL3
KLKB1	P03952
NSD2	O96028
NKX3-2	P78367
ADGRA3	Q8IWK6
TMEM165	Q9HC07
CLOCK	O15516
MUC7	Q8TAX7
BMP2K	Q9NSY1
PAQR3	Q6TCH7
WDFY3	Q8IZQ1
GRID2	O43424
SMARCAD1	Q9H4L7
DKK2	Q9UBU2
MFSD8	Q8NHS3
PABPC4L	P0CB38
PCDH18	Q9HCL0
MGST2	Q99735
HHIP-AS1	anon
HHIP	Q96QV1
MMAA	Q8IVH4
FGB	P02675
AHRR	A9YTQ3
SLC6A19	Q695T7
SLC6A18	Q96N87
SLC6A3	Q01959
IRX4	P78413
ADAMTS16	Q8TE57
LINC01018	anon
NSUN2	Q08J23
TENT4A	Q5XG87
MTRR	Q9UBK8
CCT5	P48643
CTNND2	Q9UQB3
DNAH5	Q8TE73
TRIO	O75962
RETREG1	Q9H6L5
PRDM9	Q9NQV7
DROSHA	Q9NRR4
SLC45A2	Q9UMX9
AMACR	Q9UHK6
C1QTNF3-AMACR	anon
AGXT2	Q9BYV1
SPEF2	Q9C093
IL7R	P16871
SLC1A3	P43003
NIPBL	Q6KC79
CPLANE1	Q9H799
NUP155	O75694
LIFR	P42702
C9	P02748
DAB2	P98082
C7	P10643
C6	P13671
OXCT1	P55809
GHR	P10912
FGF10	O15520
ITGA2	P17301
NDUFS4	O43181
HSPB3	Q12988
MAP3K1	Q13233
PDE4D	Q08499
NDUFAF2	Q8N183
MAST4	O15021
PIK3R1	P27986
SLC30A5	Q8TAD4
CDK7	P50613
MARVELD2	Q8N4S9
BDP1	A6H8Y1
MCCC2	Q9HCC0
MRPS27	Q92552
TNPO1	Q92973
ARHGEF28	Q8N1W1
HEXB	P07686
HMGCR	P04035
COL4A3BP	Q9Y5P4
IQGAP2	Q13576
F2RL1	P55085
AGGF1	Q8N302
PDE8B	O95263
AP3B1	O00203
DMGDH	Q9UI17
HOMER1	Q86YM7
THBS4	P35443
DHFR	P00374
MSH3	P20585
VCAN	P13611
VCAN-AS1	anon
MEF2C-AS2	anon
MEF2C	Q06413
ADGRV1	Q8WXG9
LUCAT1	anon
PCSK1	P29120
CAST	P20810
ERAP1	Q9NZ08
ERAP2	Q6P179
SLCO4C1	Q6ZQN7
SLCO6A1	Q86UG4
TSLP	Q969D9
CAMK4	Q16566
APC	P25054
